RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES
1,0,50497,Adrien Dumont de Chassart,4.90,196
2,0,38991,Alejandro Tosti,4.89,396
3,0,59095,Chris Gotterup,4.67,416
4,0,29461,Jamie Lovemark,4.56,205
4,0,39327,Ben Silverman,4.56,287
6,0,52514,Trace Crowe,4.55,250
6,0,37380,Curtis Luck,4.55,337
8,0,47420,Jake Knapp,4.54,377
9,0,59442,Parker Coody,4.51,307
10,0,60067,Joe Highsmith,4.42,314
10,0,48319,Tom Whitney,4.42,314
12,0,49884,Cody Blick,4.40,352
12,0,35437,Carter Jenkins,4.40,339
12,0,34587,Chan Kim,4.40,361
12,0,50582,Jeremy Paul,4.40,352
16,0,51600,Jimmy Stanger,4.39,329
17,0,60004,Jacob Bridgeman,4.38,381
17,0,56284,Patrick Cover,4.38,342
17,0,33486,Roger Sloan,4.38,298
20,0,27139,David Skinns,4.37,293
21,0,36884,Ben Kohles,4.36,362
21,0,34213,Grayson Murray,4.36,183
23,0,49399,Shad Tuten,4.35,322
24,0,47461,Andrew Kozan,4.34,291
24,0,63121,William Mouw,4.34,165
26,0,51696,Rico Hoey,4.33,364
26,0,46113,Ryan McCormick,4.33,385
28,0,54576,Patrick Fishburn,4.32,341
29,0,49590,Frankie Capan III,4.28,304
29,0,51977,Max Greyserman,4.28,351
31,0,39436,Joshua Creel,4.27,265
31,0,60021,Patrick Welch,4.27,222
33,0,51690,Taylor Dickson,4.25,336
33,0,59141,Matt McCarty,4.25,344
35,0,47996,Jack Maguire,4.23,203
36,0,46443,Brian Campbell,4.22,291
36,0,46487,Brandon McIver,4.22,266
36,0,57900,Chandler Phillips,4.22,287
36,0,50474,Tim Widing,4.22,321
40,0,56149,Wilson Furr,4.21,341
40,0,56781,Isaiah Salinda,4.21,261
40,0,55573,John VanDerLaan,4.21,341
43,0,39859,Cristobal Del Solar,4.20,353
43,0,54607,Danny Walker,4.20,189
45,0,54794,Jay Card III,4.19,226
45,0,56617,Thomas Walsh,4.19,310
47,0,57625,Trent Phillips,4.18,272
47,0,39953,Chase Seiffert,4.18,301
49,0,60019,Jackson Suber,4.17,300
50,0,59440,Ricky Castillo,4.16,158
50,0,37428,Evan Harmeling,4.16,279
52,0,32070,Rafael Campos,4.15,328
53,0,36735,Jorge Fernández Valdés,4.14,319
53,0,58658,Peter Knade,4.14,265
53,0,60015,Logan McAllister,4.14,302
56,0,39393,Brad Hopfinger,4.13,289
56,0,35113,Dimi Papadatos,4.13,198
58,0,58605,Quade Cummins,4.10,344
58,0,57123,Steven Fisk,4.10,340
60,0,54652,David Kocher,4.08,343
61,0,47125,Matt Atkins,4.07,285
61,0,59836,Pierceson Coody,4.07,281
61,0,47663,Kevin Dougherty,4.07,281
64,0,54328,Norman Xiong,4.06,252
65,0,28679,Fabián Gómez,4.05,231
65,0,54525,Ian Holt,4.05,178
67,0,52370,Mason Andersen,4.04,335
67,0,54625,Dawson Armstrong,4.04,218
69,0,54393,A.J. Crouch,4.03,278
69,0,59143,Mac Meissner,4.03,310
71,0,59006,Davis Chatfield,4.02,342
72,0,24980,Scott Gutschewski,4.00,284
72,0,47987,Cole Hammer,4.00,152
72,0,29223,Sam Saunders,4.00,256
72,0,56362,Alex Weiss,4.00,224
76,0,27330,Josh Teater,3.99,311
77,0,57124,Michael Feagles,3.98,247
77,0,32618,Rhein Gibson,3.98,263
77,0,59533,Joe Weiler,3.98,255
80,0,47154,Martin Contini,3.97,270
80,0,34308,Brandon Crick,3.97,254
82,0,35490,Wil Bateman,3.96,281
83,0,51671,Alex Chiarella,3.95,296
83,0,33490,Bo Hoag,3.95,229
85,0,58619,Kevin Velo,3.94,280
86,0,48632,Yuto Katsuragawa,3.93,157
87,0,39537,Chris Naegel,3.92,204
88,0,58594,Spencer Ralston,3.91,227
89,0,37212,Paul Barjon,3.90,265
89,0,35421,Brandon Harkins,3.90,281
91,0,35110,Brett Drewitt,3.89,257
92,0,55851,Pontus Nyholm,3.88,322
93,0,54995,Brendon Jelley,3.86,216
93,0,48705,Dalton Ward,3.86,189
95,0,35376,Roberto Díaz,3.85,316
95,0,36789,Patrick Newcomb,3.85,231
95,0,37006,Joel Thelen,3.85,227
98,0,28500,Martin Flores,3.84,257
99,0,27770,Camilo Villegas,3.83,199
99,0,29938,Alan Wagner,3.83,249
101,0,36824,Paul Peterson,3.82,317
101,0,58436,Scott Stevens,3.82,229
103,0,58189,Billy Tom Sargent,3.81,137
104,0,58166,Abel Gallegos,3.80,228
105,0,35819,Vince India,3.79,235
105,0,58669,Jacob Solomon,3.79,284
107,0,55165,Noah Goodwin,3.78,227
107,0,50490,Chase Parker,3.78,185
109,0,39420,Colin Featherstone,3.77,234
109,0,45540,Jared Wolfe,3.77,275
111,0,35230,Nelson Ledesma,3.76,222
111,0,60882,Thomas Rosenmueller,3.76,271
113,0,27958,Ryan Blaum,3.75,165
113,0,56742,Brady Calkins,3.75,150
113,0,46523,Joey Garber,3.75,304
113,0,46550,Brandon Hagy,3.75,244
113,0,34305,Daniel Miernicki,3.75,266
113,0,55420,Cooper Musselman,3.75,244
119,0,55623,Kaito Onishi,3.74,228
119,0,25834,Daniel Summerhays,3.74,243
121,0,50706,Ashton Van Horne,3.72,223
121,0,35544,Andrew Yun,3.72,238
123,0,50006,Willie Mack III,3.71,204
124,0,51680,Alistair Docherty,3.69,262
124,0,10381,Curtis Thompson,3.69,229
126,0,54792,Chris Petefish,3.67,213
127,0,46290,Wade Binfield,3.65,179
128,0,35658,Kris Ventura,3.62,228
129,0,54655,Patrick Flavin,3.61,249
130,0,34643,Michael Johnson,3.60,263
130,0,47990,Kyle Jones,3.60,169
130,0,56376,Mitchell Meissner,3.60,245
133,0,56676,John Augenstein,3.59,273
133,0,29675,Dan McCarthy,3.59,248
133,0,45582,Jared Sawada,3.59,140
136,0,39480,T.J. Vogel,3.58,240
137,0,54781,Grant Hirschman,3.56,221
137,0,59137,RJ Manke,3.56,171
139,0,39412,Zack Fischer,3.55,213
140,0,27466,Spencer Levin,3.54,237
141,0,55411,Jacob Bergeron,3.53,159
142,0,33120,Mark Anderson,3.52,236
143,0,56320,Bryson Nimmer,3.47,184
144,0,54383,Ryan Elmore,3.46,135
144,0,32254,Xinjun Zhang,3.46,187